source,author,title,description,url,urlToImage,publishedAt,content,category,country
BBC News,Andrew Benson,FIA ex-CEO Natalie Robyn breaks silence over 'serious challenges' - BBC,"Former FIA chief executive officer Natalie Robyn says motorsport's governing body has ""serious ongoing structural challenges"".",https://www.bbc.com/sport/formula1/articles/cql66wv234go,https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/854e/live/abe68da0-0d46-11ef-82e8-cd354766a224.jpg,2025-04-10T11:13:03Z,"Robyn told BBC Sport: ""During my tenure as CEO, I worked under challenging circumstances to strengthen the federation's governance framework and upgrade its operational transparency.
""The resignatio… [+2001 chars]",sports,us
CBS Sports,,"2025 Masters TV schedule, coverage, channel, how to watch online, where to live stream today, golf tee times - CBS Sports",Where to watch every memorable moment of the 2025 Masters on TV or streaming live,https://www.cbssports.com/golf/news/2025-masters-tv-schedule-coverage-channel-how-to-watch-online-where-to-live-stream-today-golf-tee-times/,https://sportshub.cbsistatic.com/i/r/2025/04/09/e9e6e8a6-ba70-430b-a89b-b399431c9f54/thumbnail/1200x675/e278116e4d5978d6a95710dfe3a31d65/masters-flag-2025-us.jpg,2025-04-10T10:45:00Z,The most wonderful time of the golf season has arrived as the beauty of April surrounds Augusta National Golf Club. The 2025 Masters begins another star-studded affair Thursday with an absolutely loa… [+7341 chars],sports,us
MLSsoccer.com,mlssoccer,"Lionel Messi, Inter Miami deliver LAFC heartbreak in instant CCC classic - MLSsoccer.com","A rollercoaster of emotions, Video Review checks, on-field scuffles and another legendary performance from the GOAT made for an enthralling contest in Wednesday's Concacaf Champions Cup quarterfinal decider between Inter Miami CF and LAFC.",https://www.mlssoccer.com/news/lionel-messi-inter-miami-deliver-lafc-heartbreak-in-instant-ccc-classic,https://images.mlssoccer.com/image/private/t_q-best/mls/ce0tax7nmhwg065vny3g.png,2025-04-10T08:03:45Z,,sports,us
Yahoo Entertainment,Dan Woike,'Everybody had my back.' Lakers forge tighter bond supporting Luka Doncic in Dallas - Yahoo Sports,"LeBron James and the Lakers unified to support Luka Doncic during his emotional return to Dallas, instantly deepening affection among the teammates.",https://sports.yahoo.com/article/everybody-had-back-lakers-forge-062227456.html,https://media.zenfs.com/en/la_times_articles_853/44091170db6a5a492fb3ec79fe96c371,2025-04-10T06:22:27Z,LeBron James embraces Luka Doncic as Dallas fans cheer late in the Lakers' win over the Mavericks. Doncic scored 45 points during his emotional first game back in Dallas since a shocking trade that s… [+6284 chars],sports,us
Arizona Sports,Kellan Olson,Massive offseason changes loom after Suns’ season ends - Arizona Sports,The Phoenix Suns will be making massive changes this offseason all over the franchise.,https://arizonasports.com/nba/phoenix-suns/suns-offseason-preview/3579938/,https://arizonasports.com/wp-content/uploads/2025/04/GettyImages-2193490490-e1744228884160.jpg,2025-04-10T05:10:21Z,"PHOENIX — Devin Booker paused, agreed, and then briefly paused again before giving his answer.
The Phoenix Suns shooting guard and face of the franchise was asked on Tuesday if one of his mantras of… [+10438 chars]",sports,us
Yahoo Entertainment,Shaheen Al-Shatti,"GFL founder vows to 'keep pushing forward' after event cancellations, lays out company's future - Yahoo Sports","Global Fight League founder Darren Owen vowed to ""keep pushing forward"" on Wednesday following the cancellation of the debut events for the fledgling MMA...",https://sports.yahoo.com/mma/article/gfl-founder-vows-to-keep-pushing-forward-after-event-cancellations-lays-out-companys-future-034401647.html,https://s.yimg.com/ny/api/res/1.2/4GrOQsIqWGPCfMxzEblCZw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA7Y2Y9d2VicA--/https://s.yimg.com/os/creatr-uploaded-images/2025-04/88588430-15bd-11f0-b93f-3ed48a72e37b,2025-04-10T03:44:01Z,"(Chris Unger via Getty Images)
Global Fight League founder Darren Owen vowed to ""keep pushing forward"" on Wednesday following the cancellation of the debut events for the fledgling, team-based MMA o… [+1433 chars]",sports,us
MLB Trade Rumors,Anthony Franco,Twins Likely To Place Pablo Lopez On Injured List - MLB Trade Rumors,The Twins are placing their ace on the injured list. Read more at MLB Trade Rumors.,https://www.mlbtraderumors.com/2025/04/twins-likely-to-place-pablo-lopez-on-injured-list.html,https://cdn.mlbtraderumors.com/files/2025/04/USATSI_25831067-1024x683.jpg,2025-04-10T02:52:15Z,"The Twins plan to place Pablo López on the 15-day injured list, manager Rocco Baldelli tells reporters (including Bobby Nightengale of The Minnesota Star-Tribune and Dan Hayes of The Athletic). Minne… [+2326 chars]",sports,us
Lookout Landing,John Trupin,"Dr. Hibbert asks the Astros to view their reflection, the reflection is the Seattle Mariners, M’s win 7-6 - Lookout Landing","A stunning, stunning comeback victory for a series win.",https://www.lookoutlanding.com/2025/4/9/24404992/dr-hibbert-asks-astros-view-their-reflection-reflection-is-the-seattle-mariners-ms-win-7-6,https://cdn.vox-cdn.com/thumbor/3-hye6kPS8fNtIaSxtjTipnnX04=/0x8:498x269/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25946961/dr_hibbert.png,2025-04-10T01:51:54Z,"The 20,556 afternoon escapees from 9-5 obligations had to expect something external to the ordinary as they entered the gates of T-Mobile Park. A getaway game for the Houston Astros, on the heels of … [+8532 chars]",sports,us
Lone Star Ball,Adam J. Morris,Thoughts on a 6-2 Rangers win - Lone Star Ball,"Rangers 6, Cubs 2",https://www.lonestarball.com/2025/4/9/24405053/thoughts-on-a-6-2-rangers-win,https://cdn.vox-cdn.com/thumbor/At15Nt1I9FArz6vnu-JCI4NtV_o=/0x0:5913x3096/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25946991/2209426722.jpg,2025-04-10T01:12:00Z,,sports,us
Bleacher Report,Timothy Rapp,Nikola Jokic Was Reportedly Told of Michael Malone Firing and 'Understood' Decision - Bleacher Report,,https://bleacherreport.com/articles/25183013-nikola-jokic-was-reportedly-told-michael-malone-firing-and-understood-decision,https://gsp-image-cdn.wmsports.io/cms/prod/bleacher-report/getty_images/2208935789_large_cropped.jpg?w=3800&h=2000,2025-04-10T00:56:15Z,"There has been no indication that Denver Nuggets' superstar center Nikola Joki pushed for the shocking firing of head coach Mike Malone less than a week before the playoffs begin.
But it apparently … [+2441 chars]",sports,us
