source,author,title,description,url,publishedAt,category,country
Vooks,vooks.net,nintendo confirms no download codes needed for physical switch 2 edition games - vooks.net,no description,https://www.vooks.net/nintendo-confirms-no-download-codes-needed-for-physical-switch-2-edition-games/,2025-04-10 05:14:58+00:00,technology,us
Nintendo Life,Liam Doolan,"ex-playstation boss comments on switch 2's ""hefty"" price hikes - nintendo life","""exclusivity kind of mitigates the sticker shock""",https://www.nintendolife.com/news/2025/04/ex-playstation-boss-comments-on-switch-2s-hefty-price-hikes,2025-04-10 03:55:00+00:00,technology,us
Nintendo Life,Liam Doolan,round up: the first impressions of mario kart world are in - nintendo life,the race begins this june,https://www.nintendolife.com/news/2025/04/round-up-the-first-impressions-of-mario-kart-world-are-in,2025-04-10 00:30:00+00:00,technology,us
TechCrunch,Kyle Wiggers,google to embrace anthropic’s standard for connecting ai models to data - techcrunch,"just a few weeks after openai said it would adopt rival anthropic’s standard for connecting ai models to the systems where data resides, google is following suit.",https://techcrunch.com/2025/04/09/google-says-itll-embrace-anthropics-standard-for-connecting-ai-models-to-data/,2025-04-09 23:18:42+00:00,technology,us
BBC News,Unknown,the plans to put data centres into orbit and on the moon - bbc,"proponents say space-based data centres will be more secure, but sceptics say big hurdles remain.",https://www.bbc.com/news/articles/cjewvpkw7weo,2025-04-09 23:04:05+00:00,technology,us
Gamingbible.com,Kate Harrold,xbox gamers slam gta 6 price leak: 'i just won't get it' - gamingbible,"the debate over gta vi's potential pricing rages on, with fans unlikely to part with their hard-earned money.",https://www.gamingbible.com/news/platform/xbox/xbox-gamers-slam-gta-6-price-leak-668898-20250409,2025-04-09 22:00:01+00:00,technology,us
The Washington Post,Daniel Wu,some people think ai writing has a tell — the em dash. writers disagree. - the washington post,em dashes have been derided as the “chatgpt hyphen” — a punctuation mark overused by artificial intelligence. that’s not quite true.,https://www.washingtonpost.com/technology/2025/04/09/ai-em-dash-writing-punctuation-chatgpt/,2025-04-09 21:49:17+00:00,technology,us
Kotaku,Ethan Gach,path of exile 2 dev reflects after update gets review-bombed: 'there were some blatant f***-ups' - kotaku,the action-rpg is in damage control mode after dawn of the hunt goes off the rails,https://kotaku.com/path-exile-2-poe-nerfs-patch-notes-dawn-hunt-1851775526,2025-04-09 20:50:00+00:00,technology,us
Ars Technica,Ryan Whitwam,google’s best gemini ai model is showing up in more places - ars technica,gemini 2.5 is starting to move beyond its experimental phase.,https://arstechnica.com/ai/2025/04/googles-best-gemini-ai-model-is-showing-up-in-more-places/,2025-04-09 20:33:11+00:00,technology,us
GameSpot,Steven Petite,nintendo switch 2 is causing microsd express cards to sell out - here's where to get one - gamespot,"nintendo switch 2 storage can only be expanded with the new microsd express cards, which are extremely fast and fairly pricey.",https://www.gamespot.com/articles/nintendo-switch-2-is-causing-microsd-express-cards-to-sell-out-heres-where-to-get-one/1100-6530578/,2025-04-09 20:15:30+00:00,technology,us
Polygon,Cameron Faulkner,anker’s very fast usb-c power bank is 67% off (update: sold out) - polygon,"the anker 737 24,000mah power bank is safe for airplanes, and it’s just $49.99 at amazon for a limited time. this is a great option for laptops and handhelds.",https://www.polygon.com/good-deals/556081/ankers-very-fast-usb-c-power-bank-is-67-off-for-the-first-time,2025-04-09 19:53:07+00:00,technology,us
Polygon,Ian Walker,blue prince will be on playstation plus from launch - polygon,"blue prince will be on xbox game pass and playstation plus as of its release date, april 10. plus: the rest of april 2025’s best playstation plus games.",https://www.polygon.com/news/556017/blue-prince-playstation-plus-xbox-game-pass-launch-date,2025-04-09 19:24:18+00:00,technology,us
The Verge,Allison Johnson,gemini can now turn your google docs into podcasts - the verge,the popular notebooklm feature is coming to google docs for workspace accounts.,https://www.theverge.com/news/645986/gemini-can-now-turn-your-google-docs-into-podcasts,2025-04-09 18:59:27+00:00,technology,us
Ars Technica,Andrew Cunningham,windows 11’s copilot vision wants to help you learn to use complicated apps - ars technica,copilot beta update is rolling out to windows insider program testers now.,https://arstechnica.com/gadgets/2025/04/windows-11s-copilot-vision-wants-to-help-you-learn-to-use-complicated-apps/,2025-04-09 16:57:04+00:00,technology,us
ZDNet,Artie Beaty,how to get apple tv+ for less than $3 a month - even if you already subscribe - zdnet,who couldn't use a little extra savings right now?,https://www.zdnet.com/home-and-office/home-entertainment/how-to-get-apple-tv-for-less-than-3-a-month-even-if-you-already-subscribe/,2025-04-09 16:52:00+00:00,technology,us
Kotaku,Zack Zwiezen,hogwarts legacy and more arrive on ps plus next week - kotaku,"one of the year's highest reviewed games, blue prince, also launches soon on ps plus",https://kotaku.com/ps-plus-games-march-2025-hogwarts-legacy-blue-prince-1851775453,2025-04-09 16:35:00+00:00,technology,us
Notebookcheck.net,Vineet Washington,"rumor: titanfall 3 is almost complete, based on ue5, features singleplayer, extraction mode, and others - notebookcheck","titanfall 3 may actually be a thing and could arrive in the near future, at least if the latest leak is to be believed. the game is said to be developed on unreal engine 5 and is almost complete.",https://www.notebookcheck.net/Rumor-Titanfall-3-is-almost-complete-based-on-UE5-features-singleplayer-extraction-mode-and-others.996443.0.html,2025-04-09 16:01:00+00:00,technology,us
Droid Life,Kellen,this is the best pixel 9a deal - droid life,"after a brief delay while google investigated some sort of component quality issue, the pixel 9a is ready to arrive and tempt you. while we already know the full starting price is $499, we assumed there would be plenty of deals at launch to make this reasonab…",https://www.droid-life.com/2025/04/09/pixel-9a-launches-tomorrow-here-are-the-best-deals-to-jump-on/,2025-04-09 15:29:20+00:00,technology,us
Polygon,Nicole Carpenter,ubisoft holds firm in the crew lawsuit: you don’t own your video games - polygon,ubisoft is being sued by players over its shutdown of the crew. here’s how the lawsuit is going.,https://www.polygon.com/gaming/555469/ubisoft-holds-firm-in-the-crew-lawsuit-you-dont-own-your-video-games,2025-04-09 15:19:05+00:00,technology,us
